料理名,エネルギー,塩分,想定人数,材料,分量,手順
鶏レバ－と野菜の炒め煮      ,171 kcal,3.2 g,4人分,鶏レバー,300g,1鶏レバーは食べやすい大きさにそぎ切りにし、Ａで下味をつける。片栗粉をまぶし、油で揚げる。
,,,,酒,大さじ1,2玉ねぎは１ｃｍ幅のくし形切りにし、たけのこは薄切りにする。セロリはスジを取り、ねぎとともに５ｍｍの厚さの斜め切りにする。にら、黄にらは５ｃｍ長さに切る。
,,,,しょうゆ,小さじ2,3フライパンに油適量を熱し、（２）の玉ねぎ・たけのこ・セロリ・ねぎを炒める。（１）の鶏レバーを加えてさらに炒め、Ｂを加えて味を含ませる。
,,,,「丸鶏がらスープ」,小さじ2,4（２）のにら・黄にらを加えてサッと炒め、ごま油を加える。
,,,,片栗粉,大さじ2
,,,,玉ねぎ,1個
,,,,ゆでたけのこ,80g
,,,,セロリ・大,1/2本
,,,,ねぎ,1/2本
,,,,にら,1/4束
,,,,黄にら,1/4束
,,,,しょうゆ,大さじ3
,,,,酒,大さじ2
,,,,砂糖,小さじ2
,,,,「AJINOMOTOごま油好きの純正ごま油」,小さじ1・1/2
,,,,うま味調味料「味の素®」,少々
,,,,こしょう,少々
,,,,「AJINOMOTO大豆の油健康プラス」,適量
,,,,「AJINOMOTOごま油好きの純正ごま油」,少々
,,,,
麻婆豆腐      ,422 kcal,2.7 g,2人分,木綿豆腐,1丁（300g）,1豆腐は２ｃｍ角に切る。バットまたは皿に広げて並べ、熱湯をかけたら湯を捨てる。水が澄むまで流水を静かにかけたら、水気をきる。
,,,,豚ひき肉,100g,2フライパンにＡを入れて弱火で熱し、調味料と材料がなじむように炒める。ひき肉を加え、肉の色が変わるまで中火で炒める。
,,,,ねぎのみじん切り・大さじ2,20g,3Ｂを加えて煮立てたら、水を加えてさらに煮立てる。
,,,,しょうがのみじん切り,1かけ分,4（１）の豆腐を加えて全体を混ぜ合わせ、強火で２～３分煮、Ｃの水溶き片栗粉を加えてとろみをつけたら、ごま油を回しかける。器に盛り、香菜を散らす。
,,,,にんにくのみじん切り,1かけ分
,,,,「AJINOMOTOサラダ油」,大さじ2
,,,,「CookDo」熟成豆板醤,小さじ1（5g）
,,,,酒,大さじ1
,,,,しょうゆ,大さじ1
,,,,砂糖,小さじ2
,,,,「CookDo」甜麺醤,小さじ2（10g）
,,,,「丸鶏がらスープ」,小さじ1
,,,,水,2/3カップ
,,,,片栗粉,大さじ1
,,,,水,大さじ1
,,,,「AJINOMOTOごま油好きの純正ごま油」,小さじ1/2
,,,,香菜,少々
,,,,
かに玉      ,297 kcal,2.6 g,2人分,卵,3個,1かに缶は汁気をきる。たけのこは細切りにし、ねぎはみじん切りにする。しいたけは薄切りにする。
,,,,かに缶,1缶,2ボウルに卵を割りほぐし、（１）のかに缶・たけのこ・ねぎ・しいたけ、「香味ペースト」を加えてよく混ぜる。
,,,,ゆでたけのこ,30g,3フライパンに油を熱し、（２）を流し入れて両面焼く。
,,,,長ねぎ,1/3本分（20g）,4器に（３）を半分に切って盛り、小ねぎをのせる。
,,,,しいたけ,2枚
,,,,「CookDo香味ペースト」,12cm（8.5g）
,,,,「AJINOMOTOサラダ油」,大さじ2
,,,,小ねぎの小口切り,適量
,,,,
中国風鶏のから揚げ      ,240 kcal,1.5 g,4人分,鶏骨つきもも肉,500g,1ねぎは包丁のみねの方でたたき、鶏肉、Ａと混ぜ合わせ、下味をつける。
,,,,ねぎ,10cm,2（１）の鶏肉に片栗粉をまんべんなくつけ、１６０℃に熱した油でカラッと揚げ、にんにくの薄切りも素揚げにする。
,,,,おろしにんにく,1かけ分,3器にサラダ菜を敷いて（２）のから揚げ・揚げにんにくを盛り、香菜を飾る。好みで花椒塩を添える。
,,,,おろししょうが,2/3かけ分
,,,,しょうゆ,大さじ2
,,,,酒,大さじ1
